Date,Description,Amount
2026-03-01,Starbucks,350.50
2026-03-02,Uber Rides,450.00
2026-03-03,Amazon.in,1299.00
2026-03-04,Whole Foods Market,4250.00
2026-03-05,Netflix Subscription,649.00
2026-03-05,Spotify Premium,119.00
2026-03-06,Shell Gas Station,2500.00
2026-03-07,Local Electronics Store,45000.00
2026-03-08,Gym Membership,1500.00
2026-03-10,Zomato Food Delivery,850.00
2026-03-12,H&M Clothing,3400.00
2026-03-15,Electricity Bill,1800.00
2026-03-18,Uber Rides,520.00
2026-03-20,Starbucks,410.00
2026-03-22,BookMyShow Movies,900.00
